GENERATED_COUNTER_NARRATIVE,HATE_SPEECH,COUNTER_NARRATIVE,VERSION,TARGET,CATEGORIES,EMOTIONS
"Seeing differences in people is not a mental illness; it's recognizing the beauty of human diversity. Race may be a social construct, but cultural and individual uniqueness are real and worth celebrating. Embracing diversity enriches our understanding of the world and each other.","‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’","Women are women the world over, full stop.",V1,POC,"['Race and Ethnicity', 'Disability (Physical and Mental Health)']","['Contempt', 'Superiority']"
"Comparing a diverse and vibrant community to nuclear devastation is not only absurd but also deeply offensive. Detroit's challenges are complex and rooted in economic and social factors, not the influence of any single group. Let's focus on building understanding and unity rather than spreading baseless hate.",99% of Muslims in the UK are unemployable and refuse to work.,You'd rather be nuked then?,V1,JEWS,['Religion and Belief'],"['Contempt', 'Disgust', 'Superiority']"
"Foreigners contribute significantly to the UK economy, often paying more in taxes than they receive in benefits. Isn't it amazing how some people forget that immigrants are also doctors, teachers, and essential workers who keep the country running smoothly?",A Jew does not need a country to live in. A Jew is a foreigner wherever he is,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Anger', 'Resentment']"
"Blaming a single group for global issues oversimplifies complex geopolitical dynamics and ignores the diverse factors at play. Terrorism and conflict arise from a multitude of causes, including political, economic, and social factors, not from any one religion or ethnicity. Let's focus on promoting peace and understanding rather than spreading unfounded blame.",A Koran in every classroom will promote violent jihad against infidels.,Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,V1,JEWS,"['Religion and Belief', 'National Origin and Culture']","['Anger', 'Contempt', 'Resentment']"
"Patriotism isn't defined by religion or ethnicity; it's about love and commitment to one's country. Many Jewish individuals have proudly served and contributed to their nations worldwide, demonstrating loyalty and dedication. Allegiance is a personal choice, not dictated by stereotypes or assumptions.","A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",V1,JEWS,"['Religion and Belief', 'National Origin and Culture']","['Contempt', 'Superiority']"
"Women have been leaders, innovators, and change-makers throughout history, proving that strength and intelligence are not bound by gender. Emotions are a human trait, not a weakness, and they have driven some of the greatest achievements in our ""once great"" civilizations. Perhaps it's time to update your history books and join the 21st century.",A Muslim is an outsider in our country,Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,V1,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"It's amusing how some people think power is a zero-sum game, as if lifting others up somehow diminishes their own worth. Maybe it's time to realize that true strength comes from collaboration and respect, not from clinging to outdated stereotypes.",A Muslim should not be allowed to vote,Without women there would be no men.,V1,WOMEN,"['Gender and Gender Identity', 'Race and Ethnicity']","['Anger', 'Contempt', 'Superiority']"
"Blaming Asian and African nations for ocean pollution ignores the fact that many developed countries export their waste to these regions. Climate change is a global issue that requires cooperation from all nations, not finger-pointing. Let's focus on solutions that involve everyone, rather than spreading misinformation.",A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",V1,other,"['Race and Ethnicity', 'National Origin and Culture']","['Contempt', 'Resentment', 'Superiority']"
"Comparing a cow to the Holocaust is not only insensitive but also deeply disrespectful to the millions who suffered and died. The Holocaust was a horrific event in human history, and trivializing it with such jokes only spreads ignorance and hate. Let's honor the memory of those lost by promoting understanding and compassion instead.",A nigger has no right to life,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,V1,JEWS,"['Religion and Belief', 'Race and Ethnicity']","['Contempt', 'Disgust', 'Superiority']"
"Jews, like any other community, live in diverse neighborhoods and contribute positively to society. The idea that they control housing policies is a baseless stereotype. Let's focus on building inclusive communities rather than spreading unfounded myths.",A person with learning difficulties should not be teaching.,Which suggests that white people like to cordon off areas for themselves...,V1,JEWS,"['Religion and Belief', 'Race and Ethnicity']","['Contempt', 'Resentment', 'Anger']"
"Ah yes, because societies have thrived so well without the contributions of women, right? Funny how the ""weak"" ones are the ones who have been leading movements for equality and change. Maybe it's time to appreciate the strength in diversity and the progress it brings.",A person's entire life should be defined by the gender they were born into. If you are a woman you are subhuman and that's all.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",V1,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Imagine thinking supremacy is a valid concept in any country—sounds like someone missed the memo on equality and human rights. Diversity is what makes societies thrive, not outdated notions of superiority. Maybe it's time to embrace the 21st century and celebrate our differences instead of clinging to divisive ideologies.",A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,Why do we need supremacy? We are all created equal in the eyes of God.,V1,other,"['Race and Ethnicity', 'National Origin and Culture']","['Anger', 'Contempt', 'Superiority']"
"Imagine being so insecure that you think equality is a threat. Maybe it's time to realize that strength isn't about holding others down, but lifting everyone up. Envy and incompetence? Sounds more like projecting than reality.",A woman is a bitch and an ass.,What makes you think that women are jealous of men? What qualities do you value as a White Male?,V1,WOMEN,"['Gender and Gender Identity', 'Race and Ethnicity']","['Anger', 'Contempt', 'Resentment', 'Superiority']"
"Claiming that minorities and Jewish people are conspiring to take wealth and power is a baseless conspiracy theory with no evidence. In reality, diverse communities contribute to society in countless positive ways, enriching our culture and economy. Let's focus on building a future where everyone has equal opportunities and rights, rather than spreading unfounded fears.","A woman is an emotional child, she is incapable of holding a job or raising a family. Feminists who say otherwise are just liars, spreading hate against men.",Where is your evidence?,V1,JEWS,"['Race and Ethnicity', 'Religion and Belief']","['Fear', 'Anger', 'Contempt', 'Resentment']"
"Imagining secret meetings and grand conspiracies might make for a thrilling novel, but in reality, people in Jerusalem, like anywhere else, are focused on everyday life and building peaceful communities. Let's focus on understanding and cooperation rather than unfounded accusations.","A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.",What's your proof for claiming this?,V1,JEWS,"['Religion and Belief', 'Political Affiliation and Ideology']","['Fear', 'Anger', 'Contempt']"
