V4_id,augmented_text,entityt_tokens,counter_narrative,label
V4_1,"வாழ்க்கையில் இணைப்புக்காக பிறிய நீதிமன்ற வார்த்தையை பயன்படுத்த வேண்டாம், மனிதர்கள் இனி சமூகத்தில் இருக்கக் கூடாது என்று சொல்ல இந்தப் பகுபாடு போதுவில்லை.",மனிதர்கள் இனி சமூகத்தில் இருக்கக் கூடாது,ஒவ்வொரு மனிதருக்கும் வாழும் உரிமை உள்ளது; அவர்களின் விருப்பங்களை சமுதாயம் பொறுத்திருக்க வேண்டும்.,Homophobia
V4_2,"இளைஞர்கள் திசைமாறி நடத்திக் கொள்வார்கள் என்று கூறுவது, ஒருபுறம் ஏற்றுக்கொள்ளப்பட்ட விருப்பத்திற்கு எதிர்மறையான ஓர் தாக்கம்.",இளைஞர்கள் திசைமாறி நடத்திக் கொள்வார்கள்,"ஒவ்வொருவரும் தங்கள் அடையாளத்துடன் வாழக் கூடுகிறது; மாற்றம் இல்லை, அது அவர்களது சுதந்திரம்.",Homophobia
V4_3,நாட்டில் மக்கள் கலாச்சாரம் மறந்துவிடுவார்கள் என்று பயப்படுவதற்கான அடிப்படை இல்லை—அன்பும் புரிதலும் பல்வேறு விருப்பங்களில் தோன்றும்.,மக்கள் கலாச்சாரம் மறந்துவிடுவார்கள்,ஒருவரின் விருப்பம் கலாச்சாரத்தை பாதிக்காது; சமூகப் பல்வகைப்பு வளர்ச்சிக்கு உதவுகிறது.,Homophobia
V4_4,மனித இன வளர்ச்சி பாதிக்கப்படும் என்பது உண்மைத் தோற்றத்தை காட்டவில்லை; அன்பும் ஆதரவும் வளர்ச்சியை ஊக்குவிக்கும்.,மனித இன வளர்ச்சி பாதிக்கப்படும்,"சமத்துவமான உறவுகள் சமூக வளர்ச்சிக்கு ஊக்கமளிக்கும், தடையல்ல.",Homophobia
V4_5,“பாவம்” என்று அழைக்கும் போது ஓரின விருப்பம் பாவமாகும் மற்றும் தண்டனைக்குரியது மூலம் மக்களை வலுப்படுத்தக்கூடாது.,ஓரின விருப்பம் பாவமாகும் மற்றும் தண்டனைக்குரியது,விருப்பம் என்பது மதிப்புக்குரியது; அதை பாவமோ அல்லது பிறமோ என்று குறைக்கக்கூடாது.,Homophobia
V4_6,சமூகத்தில் ஆண்கள் வெளிப்படையாக காதலிக்க ஆரம்பிப்பார்கள் என்று கூறுவது ஆண்மை எனக்கூட கணிக்க முடியாது.,ஆண்கள் வெளிப்படையாக காதலிக்க ஆரம்பிப்பார்கள்,"காதல் என்பது அன்பு, மரியாதை மையமாக கொண்டது; தன்மேடைமை அல்ல.",Homophobia
V4_7,இணைந்து குடும்பம் அமைப்பது வெட்கக்கேடானது என்று கூறுவது சமூக மதிப்பீட்டின் பிழை.,இணைந்து குடும்பம் அமைப்பது வெட்கக்கேடானது,ஒரே பாலினத்தவர்களால் அமைக்கப்படும் குடும்பம் அன்பும் உணர்ச்சியும் கொண்டது—அது மதிக்கத்தக் கூடியது.,Homophobia
V4_8,"குற்றமோ தவறு என்ற நிலைப்பாட்டை விட்டு, ஓரின உறவை வாழ்வது துன்பத்தை ஏற்படுத்தும் என்று கருத்து கொள்வது தவறான புரிதல்.",ஓரின உறவை வாழ்வது துன்பத்தை ஏற்படுத்தும்,ஒருவரின் அடையாளம் அவரை மதிக்க உறுதி செய்கிறது; அது துன்பத்துக்கு காரணமல்ல.,Homophobia
V4_9,"“அதே பாலின உறவுகள் எப்போதும் சுகாதார அபாயம்தான்” என்று பலர் கூறுவார்கள், ஆனால் உண்மைத் தகவல்கள் அதனைத் தள்ளுகின்றன.",அதே பாலின உறவுகள் எப்போதும் சுகாதார அபாயம்தான்,சுகாதார ஆபத்து நேர்மறையான நடைமுறைகள் மூலம் தணியக்கூடியது; விருப்பம் அதற்குத் தாக்கமில்லை.,Homophobia
V4_10,"கேள்வி எழுவதை தவிர்த்து, பெண் நீ ஏன் பெண்ணுடன் காதலில் ஈடுபடுற? என்ற வார்த்தைகளை நம் கலாச்சாரம் விலக்கக்கூடாது.",பெண் நீ ஏன் பெண்ணுடன் காதலில் ஈடுபடுற?,காதல் என்பது உணர்வு மேலானது—பாலினத்தைத் தாண்டியது; அது தவறல்ல.,Homophobia
