Id,text,span,counter_narrative,label
1,Fairies never know how to behave properly at formal gatherings.,fairies,Everyone deserves to be welcomed at formal gatherings; respect and good manners are not determined by sexual orientation.,Homophobia
2,Perverted gays only pretend to be normal and should all be sent to treatment.,perverted gays,Being gay is not abnormal; everyone deserves to live freely without being forced into treatment.,Homophobia
3,Flamboyant men always end up in therapy because that lifestyle breaks people.,flamboyant men,Personality or style doesn’t determine someone’s mental health; support and kindness matter most.,Homophobia
4,"Twisted gays may blend in for a while, but they still need to be corrected.",twisted gays,There is nothing to “correct” about being gay; diversity in identity strengthens communities.,Homophobia
5,"Soft queers act like nothing is wrong, but counseling could straighten them out.",soft queers,"Therapy should never aim to change someone’s identity, but to support their well-being.",Homophobia
6,Our society can’t thrive while this unnatural condition spreads; it needs to be corrected.,unnatural condition,"Human diversity is natural, and no one should be pressured to change who they are.",Homophobia
7,These sinful lifestyle choices frighten decent people and stir up needless trouble.,sinful lifestyle choices,"People’s lives and identities are not a threat; fear comes from misunderstanding, not truth.",Homophobia
8,Their corrupted mindset is steadily eroding the values of our community.,corrupted mindset,Inclusion and acceptance strengthen communities more than exclusion or prejudice ever could.,Homophobia
9,No one is willing to confront this destructive affliction that’s infecting our culture.,destructive affliction,Embracing diversity enriches culture rather than harming it.,Homophobia
10,A warped inclination like this has no place in public life.,warped inclination,Everyone has the right to participate in public life without facing discrimination.,Homophobia
11,Calling a tainted relationship a marriage disgraces the institution.,tainted relationship,"Marriage is about love and commitment, not conformity to outdated norms.",Homophobia
12,That deformed ritual mocks what love and tradition truly stand for.,deformed ritual,Love between consenting adults honors the true spirit of both love and tradition.,Homophobia
13,A tainted union like that should never be granted legal recognition.,tainted union,"Legal recognition should be available to all couples equally, regardless of gender.",Homophobia
14,That vile celebration they called a wedding was a stain on our values.,vile celebration,"A wedding between two consenting adults is a celebration of love and commitment, not a threat to values.",Homophobia
15,Normalizing corrupt relationships will only bring ruin to society.,corrupt relationships,Loving relationships between adults do not harm society; they strengthen it through compassion and mutual respect.,Homophobia
16,Those who oppose gay lifestyles claim they are defending tradition from decay.,oppose gay lifestyles,"Traditions can evolve to include love and acceptance, making communities stronger, not weaker.",Homophobia
17,People who fight homosexual values insist they are preserving moral order.,fight homosexual values,"Moral order thrives on fairness and respect for all people, regardless of their orientation.",Homophobia
18,Groups that vilify same-sex intimacy say it endangers the stability of the nation.,vilify same-sex intimacy,"Same-sex relationships contribute to healthy, stable communities just like any other loving relationship.",Homophobia
19,Those who detest LGBTQ+ practices blame them for corrupting cultural heritage.,detest LGBTQ+ practices,"Cultural heritage can embrace diversity, which makes it richer and more inclusive.",Homophobia
20,Critics who denounce pride celebrations claim they promote harmful agendas.,denounce pride celebrations,"Pride celebrations foster visibility, understanding, and unity, which benefit society as a whole.",Homophobia
21,They say homosexuality stems from serious mental trauma that needs to be treated.,serious mental trauma,Homosexuality is not an illness; acceptance and respect are the healthiest responses.,Homophobia
22,They insist that mental disorder is what causes people to be attracted to the same sex.,mental disorder,"Same-sex attraction is a natural part of human diversity, not a sign of illness.",Homophobia
23,Some claim psychological instability drives individuals into so-called unnatural lifestyles.,psychological instability,A person’s orientation is not caused by instability; it’s simply part of who they are.,Homophobia
24,Supporters argue society shouldn’t tolerate sexual identity confusion.,sexual identity confusion,Society benefits when it embraces people of all gender identities and sexual orientations.,Homophobia
25,They believe buried personal traumas are behind people choosing these kinds of relationships.,buried personal traumas,"Love and relationships are rooted in mutual respect and attraction, not in trauma.",Homophobia
26,That offensive deviation is a direct insult to sacred traditions.,offensive deviation,Sacred traditions can grow to include all loving relationships without losing their meaning.,Homophobia
27,True love can’t exist if it’s an offense against faith.,offense against faith,Faith and love can coexist; genuine love honors the spirit of compassion found in many beliefs.,Homophobia
28,Moral collapse like this is tearing apart the fabric of our world.,moral collapse,"Acceptance and kindness build stronger communities, not moral decline.",Homophobia
29,"They may act confident, but it’s still a denial of divine law.",denial of divine law,Many faith traditions recognize that love between consenting adults is not against divine will.,Homophobia
30,Promoting ethical decay under the banner of freedom will destroy society’s foundation.,ethical decay,"True freedom includes respecting the rights and dignity of all, which strengthens society rather than harming it.",Homophobia
31,"Immoral gay conduct is portrayed as normal, and that’s why values are collapsing.",immoral gay conduct,Loving relationships between same-sex partners are moral and do not erode societal values.,Homophobia
32,A faithful society has no room for corrupt homosexual pleasures.,corrupt homosexual pleasures,Faith and acceptance can coexist; diversity in relationships enriches communities.,Homophobia
33,Offensive same-sex acts insult the core beliefs we hold sacred.,offensive same-sex acts,Respecting love in all its forms can align with sacred beliefs and foster compassion.,Homophobia
34,People harboring sinful gay desires must turn away from them to be redeemed.,sinful gay desires,There is nothing sinful about being gay; acceptance and understanding bring true redemption.,Homophobia
35,No law should ever endorse a perverse male-to-male act.,perverse male-to-male act,"Equal legal rights ensure that all couples, regardless of gender, are treated fairly.",Homophobia
36,Backing such behavior is tantamount to causing a breakdown of moral order.,breakdown of moral order,"Inclusivity strengthens moral order by promoting justice, fairness, and equality.",Homophobia
37,This behavior threatens the natural balance that humanity depends on.,threatens the natural balance,"Human diversity is part of the natural balance, not a threat to it.",Homophobia
38,Against-nature practices have no place in a healthy society.,against-nature practices,"Acceptance of differences creates healthier, stronger societies for everyone.",Homophobia
39,A corrupted relationship like that should never be treated as ordinary.,corrupted relationship,"Relationships between consenting adults should be respected as valid, regardless of gender.",Homophobia
40,"This behavior is a clear stray from human nature, no matter how it’s framed.",stray from human nature,"Human diversity is part of nature, and love in all its forms is natural.",Homophobia
41,"Their corrupted sexual taste is their business, but they shouldn’t showcase it.",corrupted sexual taste,"Expressing love and affection openly should be accepted for everyone, not limited by bias.",Homophobia
42,"The same-sex lifestyle is their choice, yet there’s no need to put it on display.",same-sex lifestyle,Publicly sharing one’s life and identity is a right everyone deserves.,Homophobia
43,"An abnormal sexual orientation is up to them, but it shouldn’t be promoted to others.",abnormal sexual orientation,Education and openness about sexual orientation foster understanding and reduce prejudice.,Homophobia
44,"They can present a perverse gender display, but expecting acceptance is unreasonable.",perverse gender display,People deserve acceptance for expressing their authentic gender identity.,Homophobia
45,Keep that same-sex obsession private; it doesn’t belong in public life.,same-sex obsession,Love and attraction should never be hidden out of fear of discrimination.,Homophobia
46,He was manipulated by corrupt societal forces and led down an unnatural road.,manipulated by corrupt societal forces,"Sexual orientation is an inherent part of who someone is, not the result of manipulation.",Homophobia
47,"He was coerced into a fake same-sex identity, not guided by genuine feelings.",coerced into a fake same-sex identity,No one should be pressured to hide or alter their true sexual identity.,Homophobia
